"COMPETÊNCIA",UF,"CÓDIGO DO MUNICÍPIO","MUNICÍPIO",CNES,"NOME FANTASIA","TIPO NOVO DO ESTABELECIMENTO","TIPO DO ESTABELECIMENTO","SUBTIPO DO ESTABELECIMENTO","GESTÃO","CONVÊNIO SUS","CATEGORIA NATUREZA JURÍDICA","SERVIÇO","SERVIÇO CLASSIFICAÇÃO","SERVIÇO - AMBULATORIAL SUS","SERVIÇO - AMBULATORIAL NÃO SUS","SERVIÇO - HOSPITALAR SUS","SERVIÇO - HOSPITALAR NÃO SUS","SERVIÇO TERCEIRO","STATUS DO ESTABELECIMENTO"
"2026/02",DF,530010,BRASILIA,3144569,"UBS 7 SANTA MARIA","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",ESTADUAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MS,500430,IGUATEMI,2482592,"UNIDADE DE SAUDE DA FAMILIA VILA OPERARIA","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",RO,110012,"JI-PARANA",9725261,"UNIDADE BASICA DE SAUDE SAO BERNARDO","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",RS,431140,LAJEADO,2252287,"HOSPITAL BRUNO BORN","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"SEM FINS LUCRATIVOS","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,Sim,Sim,Sim,"NAO INFORMADO",ATIVO
"2026/02",MG,314790,PASSOS,2775999,"IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"SEM FINS LUCRATIVOS","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",MG,310620,"BELO HORIZONTE",0026972,"MATERNIDADE ODETE VALADARES","001 UNIDADE BASICA DE SAUDE","07 HOSPITAL ESPECIALIZADO","005 MATERNIDADE",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",PA,150360,ITAITUBA,2331136,"UNIDADE DE SAUDE DA FAMILIA JARDIM AEROPORTO","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",CE,231040,PARAMOTI,2564300,"UBS DE MELADO","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MG,313470,JACINTO,2119641,"UNIDADE DE SAUDE DA FAMILIA ESF BOM JARDIM","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MG,312770,"GOVERNADOR VALADARES",2200260,"ESPECIALIZA MINAS CEAE CATEGORIA I","016 AMBULATORIO","36 CLINICA/CENTRO DE ESPECIALIDADE","009 OUTROS",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
